"ColorCombo","Community","Sex","Age","Status","Location"
"CRY",1,"M","AHY","P","NB18"
"GBO (was GPT)",2,"M","AHY","N","FH"
"GDN (was GDY)",1,"F","AHY","N","FS"
"GDO",3,"M","Nestling","N","NB15B"
"GNG",4,"F","AHY","N","FB"
"GPB",5,".","Nestling","N","NB52"
"GPR",1,"M","Nestling","N","NB18"
"GPW",2,"M","Nestling","N","NB10"
"GSN",2,"F","Nestling","N","NB10"
"GTP",6,"F","AHY","N","FE"
"NRO",7,"F","AHY","N","FG"
"NSS",7,"F","HY","N","FG"
"PDN",4,"M","AHY","N","NB01"
"PND",8,"M","Nestling","N","NB14"
"RGT",9,"M","HY","N","FR"
"RNO",8,"F","HY","N","FL"
"ROW",5,"F","AHY","N","NB14"
"RTT",10,"F","Nestling","N","NB5"
"SDO",11,"M","HY","N","FA"
"SDR",4,"M","Nestling","N","NB01"
"SDT",4,"F","HY","N","FD"
"SGB",9,"F","HY","N","FR"
"SNR (was SNO)",12,"M","Nestling","N","NB09"
"SOG",6,"M","Nestling","N","NBEB1"
"SPT",6,"F","HY","N","FF"
"SPW",5,".","HY","N","FN"
"SSS",4,"M","Nestling","N","NB01"
"STT",9,"M","HY","N","FR"
"SWB",4,"M","Nestling","N","NB04"
"SYO",4,"M","HY","N","FA"
"WDD",1,"M","Nestling","N","NB18"
"WDY",2,"M","Nestling","N","NB10"
"WNP",5,"M","AHY","N","NB53"
"WNS",12,"F","AHY","N","NB09"
"WOG",13,"M","HY","N","MN-FF"
"WPB",5,"M","Nestling","N","NB15B"
"WPD",7,"M","HY","N","FG"
"WPG",6,"M","AHY","N","FF"
"WPS",3,"F","HY","N","FO"
"WSY",13,"F","AHY","N","NB8"
"WYD",10,"M","Nestling","N","NB17"
"YBN",13,"M","Nestling","N","NB21"
"YDT",7,"M","Nestling","N","NB22"
"YDW",12,"M","HY","N","FH"
"YGD",2,"M","AHY","N","FH"
"YGY",3,"M","Nestling","N","NB53"
"YOD",5,"M","Nestling","N","NB13"
"YPS",6,"F","HY","N","FE"
"YRP",1,"F","HY","N","FS"
"YSR",14,"M","Nestling","N","NB10"
"YWS",7,"M","Nestling","N","NB22"
"YYN (was YNO)",1,"M","Nestling","N","NB18"
"SWT",11,"F","HY","N","FA"
"RDO",14,"F","AHY","N","FJ"
